Given Name,Amount,Position
RAELINE,2,249
RAYLEE,2,249
ROBERTA,2,249
ROBINA,2,249
ROSALEEN,2,249
ROSINA,2,249
ROSITA,2,249
ROSLYNNE,2,249
ROWENA,2,249
SHAREE,2,249
SHEILA,2,249
SONJA,2,249
SONYA,2,249
SOPHIA,2,249
STELLA,2,249
SUZZANNE,2,249
THELMA,2,249
THERESE,2,249
TONI,2,249
UNA,2,249
VERA,2,249
VERITY,2,249
VIDA,2,249
VIOLA,2,249
VIVIENE,2,249
YVETTE,2,249
ADELA,1,345
ADELAIDE,1,345
ADELINE,1,345
AGNES,1,345
AILSA,1,345
AINA,1,345
AIRDRIE,1,345
AIYA,1,345
ALICIA,1,345
ALISIA,1,345
ALLISON,1,345
ANATOLE,1,345
ANDRA,1,345
ANDRAE,1,345
ANGELINA,1,345
ANNA,1,345
ANNALYN,1,345
ANNE-MARIE,1,345
ANNTOINETTE,1,345
ANTOINETTE,1,345
ANTONIA,1,345
ANYA,1,345
ARMONIA,1,345
ASTEROPE,1,345
ASTRID,1,345
ATHOLIE,1,345
AURIEL,1,345
AURIOL,1,345
AVERIL,1,345
AVERILL,1,345
AVRIL,1,345
BEATRICE,1,345
BEATRIX,1,345
BERENICE,1,345
BERTILLA,1,345
BEY,1,345
BILLY,1,345
BOBBY,1,345
BONNEY,1,345
BONNIE,1,345
BONNY,1,345
BRIAR,1,345
CALIOPE,1,345
CARLYN,1,345
CARLYNE,1,345
CARMELINA,1,345
CARMEN,1,345
CARROL,1,345
CARYL,1,345
CARYLL,1,345
CATERINO,1,345
CATHLEEN,1,345
CAVELL,1,345
CECILIA,1,345
CERI,1,345
CHLORIS,1,345
CHREENA,1,345
CHRISSIE,1,345
CHRISTOBEL,1,345
CLAIR,1,345
CLARE,1,345
CLARISS,1,345
CLAUDENE,1,345
CLAUDIA,1,345
CLEMENTINA,1,345
CLEMENTINE,1,345
CLEON,1,345
COLLENE,1,345
COLYN,1,345
CONNIE,1,345
CORA,1,345
CORALYN,1,345
CORINDA,1,345
CORINDE,1,345
CORRINE,1,345
CORYNNE,1,345
CRISTINA,1,345
CYNTHEA,1,345
DALEST,1,345
DANYSE,1,345
DARIEN,1,345
DAVID,1,345
DEANNE,1,345
DELPHINE,1,345
DELYS,1,345
DERNICE,1,345
DESIREE,1,345
DESPINA,1,345
DIAN,1,345
